DEBUG: 2025-02-19 22:41:19, Query: 'ser', IP: 127.0.0.1:37554, Execution Time: 20.003ms, Result: STRING NOT FOUND
DEBUG: 2025-02-19 22:41:30, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:37554, Execution Time: 0.024ms, Result: STRING EXISTS
DEBUG: 2025-02-19 22:42:58, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:54642, Execution Time: 24.258ms, Result: STRING EXISTS
DEBUG: 2025-02-19 22:42:59, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:54642, Execution Time: 0.02ms, Result: STRING EXISTS
DEBUG: 2025-02-19 22:43:00, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:54642, Execution Time: 0.019ms, Result: STRING EXISTS
2025-02-19 22:51:08, Query: '[REDACTED]', IP: 127.0.0.1:34442, Execution Time: 23.556ms, Result: STRING NOT FOUND
2025-02-19 22:51:32, Query: '[REDACTED]', IP: 127.0.0.1:34556, Execution Time: 0.026ms, Result: STRING EXISTS
2025-02-19 22:51:48, Query: '[REDACTED]', IP: 127.0.0.1:50268, Execution Time: 0.019ms, Result: STRING NOT FOUND
2025-02-19 22:54:10, Query: 'asdf', IP: 127.0.0.1:53498, Execution Time: 24.86ms, Result: STRING NOT FOUND
2025-02-19 22:54:15, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:53498, Execution Time: 0.015ms, Result: STRING EXISTS
2025-02-19 22:54:16, Query: 'asdf', IP: 127.0.0.1:53498, Execution Time: 0.015ms, Result: STRING NOT FOUND
2025-02-19 22:54:17, Query: 'asdf', IP: 127.0.0.1:53498, Execution Time: 0.018ms, Result: STRING NOT FOUND
2025-02-19 22:54:18, Query: 'asdf', IP: 127.0.0.1:53498, Execution Time: 0.017ms, Result: STRING NOT FOUND
2025-02-19 22:54:21, Query: 'asd', IP: 127.0.0.1:53498, Execution Time: 0.018ms, Result: STRING NOT FOUND
2025-02-19 22:54:26, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:53498, Execution Time: 0.018ms, Result: STRING EXISTS
2025-02-19 22:54:31, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:53498, Execution Time: 0.021ms, Result: STRING EXISTS
2025-02-19 22:54:32, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:53498, Execution Time: 0.015ms, Result: STRING EXISTS
2025-02-19 22:54:35, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:53498, Execution Time: 0.02ms, Result: STRING EXISTS
2025-02-19 22:54:35, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:53498, Execution Time: 0.021ms, Result: STRING EXISTS
2025-02-19 22:54:38, Query: '4;0;1;11;0;8;5;0;', IP: 127.0.0.1:53498, Execution Time: 0.02ms, Result: STRING EXISTS
